feature,importance
lead_time,0.41154174401914884
avg_price_per_room,0.25089910453395337
no_of_special_requests,0.11413716115527797
market_segment_type_encoded,0.06959875268465138
total_stays,0.04131045891038812
no_of_week_nights,0.03549820063861469
total_guests,0.03320330204235464
no_of_weekend_nights,0.028232756443791793
required_car_parking_space,0.009030634737158616
repeated_guest,0.0042170975207409655
no_of_previous_bookings_not_canceled,0.0023307873139197808
